timestamp,elapsed_sec,posture_type,fatigue_label,fatigue_probability
2026-05-16 18:41:35,2,Forward Head,Normal,0.0
2026-05-16 18:41:36,3,Asymmetric,Normal,0.0
2026-05-16 18:41:36,3,Asymmetric,Normal,0.0
2026-05-16 18:41:37,4,Forward Head,Normal,0.0
2026-05-16 18:41:37,4,Asymmetric,Normal,0.0
2026-05-16 18:41:38,5,Asymmetric,Normal,0.0
2026-05-16 18:41:38,5,Optimal,Normal,0.0
2026-05-16 18:41:39,6,Asymmetric,Normal,0.0
2026-05-16 18:41:39,7,Asymmetric,Normal,0.0
2026-05-16 18:41:40,7,Chin Propping,Normal,0.0
2026-05-16 18:41:40,8,Forward Head,Normal,0.0
2026-05-16 18:41:41,8,Asymmetric,Normal,0.0
2026-05-16 18:41:41,9,Forward Head,Normal,0.0
2026-05-16 18:41:42,9,Asymmetric,Normal,0.0
2026-05-16 18:41:42,10,Forward Head,Normal,0.0
2026-05-16 18:41:43,10,Forward Head,Normal,0.0
2026-05-16 18:41:43,11,Chin Propping,Normal,0.0
2026-05-16 18:41:44,11,Chin Propping,Normal,0.0
2026-05-16 18:41:44,12,Chin Propping,Normal,0.0
2026-05-16 18:41:45,12,Chin Propping,Normal,0.0
2026-05-16 18:41:46,13,Chin Propping,Normal,0.0
2026-05-16 18:41:46,13,Asymmetric,Normal,0.0
2026-05-16 18:41:47,14,Asymmetric,Normal,0.0
2026-05-16 18:41:47,14,Asymmetric,Normal,0.0
2026-05-16 18:41:48,15,Asymmetric,Normal,0.0
2026-05-16 18:41:48,15,Asymmetric,Normal,0.0
2026-05-16 18:41:49,16,Asymmetric,Normal,0.0
2026-05-16 18:41:49,16,Asymmetric,Normal,0.0
2026-05-16 18:41:50,17,Asymmetric,Normal,0.0
2026-05-16 18:41:50,17,Asymmetric,Normal,0.0
2026-05-16 18:41:51,18,Optimal,Normal,0.0
2026-05-16 18:41:51,19,Chin Propping,Normal,0.0
2026-05-16 18:41:52,19,Optimal,Normal,0.0
2026-05-16 18:41:52,20,Optimal,Normal,0.0
2026-05-16 18:41:53,20,Asymmetric,Normal,0.0
2026-05-16 18:41:53,21,Optimal,Normal,0.0
2026-05-16 18:41:54,21,Optimal,Normal,0.0
2026-05-16 18:41:54,22,Optimal,Normal,0.0
2026-05-16 18:41:55,22,Asymmetric,Normal,0.0
2026-05-16 18:41:55,23,Forward Head,Normal,0.0
2026-05-16 18:41:56,23,Forward Head,Normal,0.0
2026-05-16 18:41:56,24,Optimal,Normal,0.0
2026-05-16 18:41:57,24,Optimal,Normal,0.0
2026-05-16 18:41:57,25,Optimal,Normal,0.0
2026-05-16 18:41:58,25,Optimal,Normal,0.0
2026-05-16 18:41:59,26,Optimal,Normal,0.0
2026-05-16 18:41:59,26,Optimal,Normal,0.0
2026-05-16 18:43:42,0,Optimal,Normal,0.0
2026-05-16 18:43:43,0,Optimal,Normal,0.0
2026-05-16 18:43:43,1,Optimal,Normal,0.0
2026-05-16 18:43:44,1,Optimal,Normal,0.0
2026-05-16 18:43:44,2,Optimal,Normal,0.0
2026-05-16 18:43:45,2,Optimal,Normal,0.0
2026-05-16 18:43:45,3,Optimal,Normal,0.0
2026-05-16 18:43:46,3,Optimal,Normal,0.0
2026-05-16 18:43:46,4,Optimal,Normal,0.0
2026-05-16 18:43:47,4,Optimal,Normal,0.0
2026-05-16 18:43:47,5,Optimal,Normal,0.0
2026-05-16 18:43:48,5,Optimal,Normal,0.0
2026-05-16 18:43:48,6,Optimal,Normal,0.0
2026-05-16 18:43:49,6,Optimal,Normal,0.0
2026-05-16 18:43:49,7,Optimal,Normal,0.0
2026-05-16 18:43:50,7,Forward Head,Normal,0.0
2026-05-16 18:43:50,8,Forward Head,Normal,0.0
2026-05-16 18:43:51,8,Forward Head,Normal,0.0
2026-05-16 18:43:51,9,Forward Head,Normal,0.0
2026-05-16 18:43:52,9,Forward Head,Normal,0.0
2026-05-16 18:43:52,10,Forward Head,Normal,0.0
2026-05-16 18:43:53,10,Forward Head,Normal,0.0
2026-05-16 18:43:53,11,Forward Head,Normal,0.0
2026-05-16 18:43:54,11,Forward Head,Normal,0.0
2026-05-16 18:43:55,12,Forward Head,Normal,0.0
2026-05-16 18:43:55,12,Forward Head,Normal,0.0
2026-05-16 18:43:56,13,Forward Head,Normal,0.0
2026-05-16 18:43:56,14,Optimal,Normal,0.0
2026-05-16 18:43:57,14,Asymmetric,Normal,0.0
2026-05-16 18:43:57,15,Asymmetric,Normal,0.0
2026-05-16 18:43:58,15,Forward Head,Normal,0.0
2026-05-16 18:43:58,16,Optimal,Normal,0.0
2026-05-16 18:43:59,16,Optimal,Normal,0.0
2026-05-16 18:43:59,17,Optimal,Normal,0.0
2026-05-16 18:44:00,17,Forward Head,Normal,0.0
2026-05-16 18:44:00,18,Chin Propping,Normal,0.0
2026-05-16 18:44:01,18,Chin Propping,Normal,0.0
2026-05-16 18:44:01,19,Chin Propping,Normal,0.0
2026-05-16 18:44:02,19,Chin Propping,Normal,0.0
2026-05-16 18:44:02,20,Chin Propping,Normal,0.0
2026-05-16 18:44:03,20,Chin Propping,Normal,0.0
2026-05-16 18:44:03,21,Chin Propping,Normal,0.0
2026-05-16 18:44:04,21,Chin Propping,Normal,0.0
2026-05-16 18:44:04,22,Chin Propping,Normal,0.0
2026-05-16 18:44:05,22,Chin Propping,Normal,0.0
2026-05-16 18:44:05,23,Chin Propping,Normal,0.0
2026-05-16 18:44:06,23,Chin Propping,Normal,0.0
2026-05-16 18:44:07,24,Chin Propping,Normal,0.0
2026-05-16 18:44:07,24,Chin Propping,Normal,0.0
2026-05-16 18:44:08,25,Chin Propping,Normal,0.0
2026-05-16 18:44:08,26,Chin Propping,Normal,0.0
2026-05-16 18:44:09,26,Chin Propping,Normal,0.0
2026-05-16 18:44:09,27,Chin Propping,Normal,0.0
2026-05-16 18:44:10,27,Chin Propping,Normal,0.0
2026-05-16 18:44:10,28,Forward Head,Normal,0.0
2026-05-16 18:44:11,28,Optimal,Normal,0.0
2026-05-16 18:44:11,29,Optimal,Normal,0.0
2026-05-16 18:44:12,29,Optimal,Normal,0.0
2026-05-16 18:44:12,30,Optimal,Drowsy,0.710956871509552
2026-05-16 18:44:13,30,Optimal,Drowsy,0.710956871509552
2026-05-16 18:44:13,31,Optimal,Drowsy,0.710956871509552
2026-05-16 18:44:14,31,Optimal,Drowsy,0.710956871509552
2026-05-16 18:44:14,32,Optimal,Drowsy,0.710956871509552
2026-05-16 18:44:15,32,Optimal,Drowsy,0.710956871509552
2026-05-16 18:44:15,33,Optimal,Drowsy,0.710956871509552
2026-05-16 18:44:16,33,Optimal,Drowsy,0.710956871509552
2026-05-16 18:49:50,0,Optimal,Normal,0.0
2026-05-16 18:49:50,0,Optimal,Normal,0.0
2026-05-16 18:49:51,1,Optimal,Normal,0.0
2026-05-16 18:49:51,1,Optimal,Normal,0.0
2026-05-16 18:49:52,2,Optimal,Normal,0.0
2026-05-16 18:49:52,2,Optimal,Normal,0.0
2026-05-16 18:49:53,3,Optimal,Normal,0.0
2026-05-16 18:49:53,3,Asymmetric,Normal,0.0
2026-05-16 18:49:54,4,Forward Head,Normal,0.0
2026-05-16 18:49:54,4,Forward Head,Normal,0.0
2026-05-16 18:49:55,5,Forward Head,Normal,0.0
2026-05-16 18:49:55,5,Asymmetric,Normal,0.0
2026-05-16 18:49:56,6,Asymmetric,Normal,0.0
2026-05-16 18:49:56,6,Asymmetric,Normal,0.0
2026-05-16 18:49:57,7,Optimal,Normal,0.0
2026-05-16 18:49:57,7,Optimal,Normal,0.0
2026-05-16 18:49:58,8,Asymmetric,Normal,0.0
2026-05-16 18:49:58,8,Asymmetric,Normal,0.0
2026-05-16 18:49:59,9,Asymmetric,Normal,0.0
2026-05-16 18:49:59,9,Asymmetric,Normal,0.0
2026-05-16 18:50:00,10,Asymmetric,Normal,0.0
2026-05-16 18:50:00,10,Asymmetric,Normal,0.0
2026-05-16 18:50:01,11,Asymmetric,Normal,0.0
2026-05-16 18:50:01,11,Chin Propping,Normal,0.0
2026-05-16 18:50:02,12,Chin Propping,Normal,0.0
